Titre,Vendeur,Prix,Ville,Carburant,Boite à vitesses,Puissance Fiscale,Nombre des images,Type,Secteur,Origine,État,Marque,Modèle,Année-Modèle,Nombre de portes,Première main,Kilométrage,ABS,Airbags,CD/MP3/Bluetooth,Caméra De Recul,Climatisation,ESP,Jantes Aluminium,Limiteur De Vitesse,Ordinateur De Bord,Radar De Recul,Régulateur De Vitesse,Sièges Cuir,Système De Navigation/GPS,Toit Ouvrant,Verrouillage Centralisé À Distance,Vitres Électriques
Toyota Yaris Essence Manuelle 2020 à Casablanca,Mouni,97000.0,Casablanca,Essence,Manuelle,6,3,"Voitures d'occasion, à vendre",Belvédère,WW au Maroc,Excellent,Toyota,Yaris,2020-01-01,5,1,47499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peugeot 508 Diesel Automatique 2019 à Casablanca,Frères Benkhadda,225000.0,Casablanca,Diesel,Automatique,8,18,"Voitures d'occasion, à vendre",Aïn Borja,WW au Maroc,Excellent,Peugeot,508,2019-01-01,5,1,97499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Skoda Kodiaq Diesel Automatique 2020 à Fès,Mr Bennis,335000.0,Fès,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Agdal,WW au Maroc,Excellent,Skoda,Kodiaq,2020-01-01,5,1,97499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dacia Sandero Stepway Diesel Manuelle 2019 à Rabat,Kim Auto,118000.0,Rabat,Diesel,Manuelle,6,9,"Voitures d'occasion, à vendre",Hay Riad,WW au Maroc,Excellent,Dacia,sandero_stepway,2019-01-01,5,1,57499.5,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1
KIFAL - SKODA Kodiaq,KIFAL AUTO,272000.0,Marrakech,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Skoda,Kodiaq,2019-01-01,5,1,104999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota Yaris tt options,hamada,98000.0,Casablanca,Essence,Manuelle,7,8,"Voitures d'occasion, à vendre",Aïn Chock,WW au Maroc,Excellent,Toyota,Yaris,2018-01-01,5,1,82499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Peugeot 208 1.6 HDi 92 Active Pack,otoclic,175000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Peugeot,208,2021-01-01,5,1,77499.5,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1
Renault clio intense Full options,Mr Bennis,157000.0,Fès,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Agdal,WW au Maroc,Excellent,Renault,Clio,2021-01-01,5,1,77499.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Jeep Wrangler Diesel Automatique 2019 à Casablanca,Yassine,390000.0,Casablanca,Diesel,Automatique,16,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Jeep,Wrangler,2019-01-01,5,1,62499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW 318 D pack M,Auto24 - Occasions Certifiées Maroc,400000.0,Casablanca,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,BMW,Serie 3,2021-01-01,5,1,67499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Peugeot 3008 Diesel Automatique 2022 à Fès,Mr Bennis,285000.0,Fès,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Agdal,WW au Maroc,Excellent,Peugeot,3008,2022-01-01,5,1,32499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Porsche Cayenne édition platinium sport design,AUTO REDA,560000.0,Casablanca,Diesel,Automatique,12,15,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Porsche,Cayenne,2018-01-01,5,1,82499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dacia logan,Aaaa,137000.0,Rabat,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Médina de Rabat,WW au Maroc,Excellent,Dacia,Logan,2023-01-01,5,1,27499.5,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1
Dacia Duster Diesel Automatique 2020 à Fès,otoclic,192000.0,Fès,Diesel,Automatique,6,8,"Voitures d'occasion, à vendre",Route de Meknes,WW au Maroc,Excellent,Dacia,Duster,2020-01-01,5,1,47499.5,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1
Peugeot 3008 allure Full,Mr Bennis,285000.0,Fès,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Agdal,WW au Maroc,Excellent,Peugeot,3008,2022-01-01,5,1,47499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Citroën bicaso,auto khalid,38000.0,Casablanca,Diesel,Manuelle,8,6,"Voitures d'occasion, à vendre",Bournazil,WW au Maroc,Très bon,Citroen,C3 Picasso,2004-01-01,5,0,184999.5,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
Volkswagen T-Roc Essence Automatique 2021,Mint Luxe Auto,400000.0,Marrakech,Essence,Automatique,11,9,"Voitures d'occasion, à vendre",Route de Casablanca,Importée neuve,Neuf,Volkswagen,t-roc,2021-01-01,5,1,62499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land Rover Range Rover Evoque Diesel Automatique,Zouhair,320000.0,Fès,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Route Ain Chkaf,WW au Maroc,Excellent,Land Rover,Range Rover Evoque,2018-01-01,5,1,144999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renault Clio Diesel Manuelle 2020 à Fès,otoclic,129000.0,Fès,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Route de Meknes,WW au Maroc,Très bon,Renault,Clio,2020-01-01,5,1,57499.5,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1
Ford C-Max Diesel Manuelle 2018 à Marrakech,abdelhadi,160000.0,Marrakech,Diesel,Manuelle,6,6,"Voitures d'occasion, à vendre",Ain Mezouar,WW au Maroc,Très bon,Ford,C-Max,2018-01-01,5,1,7499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW X1 Diesel Automatique 2017 à Fès,otoclic,275000.0,Fès,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Route de Meknes,WW au Maroc,Très bon,BMW,X1,2017-01-01,5,1,87499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
KIFAL - OPEL Astra,KIFAL AUTO,282000.0,Marrakech,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Opel,Astra,2023-01-01,5,1,22499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeep Grand Cherokee,AUTO REDA,280000.0,Casablanca,Diesel,Automatique,12,12,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Jeep,Grand Cherokee,2020-01-01,5,1,82499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Range Rover Sport dynamique,AUTO REDA,470000.0,Casablanca,Diesel,Automatique,12,11,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Land Rover,Range Rover Sport,2017-01-01,5,1,104999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DS DS 3 Diesel Automatique 2022 à Casablanca,oualid,258000.0,Casablanca,Diesel,Automatique,6,7,"Voitures d'occasion, à vendre",Californie,Dédouanée,Excellent,DS,DS 3,2022-01-01,3,1,17499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIFAL - FORD Ka,KIFAL AUTO,69000.0,Marrakech,Essence,Manuelle,7,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Ford,Ka,2014-01-01,5,1,104999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kia Picanto Essence Automatique 2022 à Casablanca,otoclic,129000.0,Casablanca,Essence,Automatique,6,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Kia,Picanto,2022-01-01,5,1,57499.5,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1
BMW X1 Diesel Automatique 2021 à Fès,Mr Bennis,325000.0,Fès,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Agdal,WW au Maroc,Excellent,BMW,X1,2021-01-01,5,1,42499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Fiat ABARTH 1.4 MPI 90,otoclic,183000.0,Casablanca,Essence,Manuelle,8,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,73,595,2022-01-01,5,1,12499.5,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Volkswagen Touareg EXTREME PLUS,AUTO REDA,530000.0,Casablanca,Diesel,Automatique,12,16,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Volkswagen,Touareg,2019-01-01,5,1,87499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Renault Clio Essence Manuelle 1994 à Agadir,AYOUB AUTO,20000.0,Agadir,Essence,Manuelle,7,8,"Voitures d'occasion, à vendre",Hay Mohammadi,Dédouanée,Excellent,Renault,Clio,1994-01-01,3,0,164999.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
Fiat Tipo Essence Automatique 2022 à Tanger,VIP Auto Tanger,124000.0,Tanger,Essence,Automatique,9,20,"Voitures d'occasion, à vendre",Mozart,WW au Maroc,Bon,Fiat,TIPO,2022-01-01,5,0,62499.5,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
Audi A3 Sline plus,AUTO REDA,320000.0,Casablanca,Diesel,Automatique,8,15,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Audi,A3,2018-01-01,5,1,124999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Range Rover Sport Autobiographie,AUTO REDA,400000.0,Casablanca,Diesel,Automatique,12,9,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Land Rover,Range Rover Sport,2014-01-01,5,1,124999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nissan Juke Essence Automatique N-DESIGN 2024,Mustapha,269900.0,Casablanca,Essence,Automatique,6,8,"Voitures d'occasion, à vendre",Sidi Bernoussi,WW au Maroc,Neuf,Nissan,Juke,2024-01-01,5,1,2499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIFAL - VOLKSWAGEN Touareg,KIFAL AUTO,293000.0,Casablanca,Diesel,Manuelle,12,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Volkswagen,Touareg,2018-01-01,5,1,67499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citroen C4 1.6 BlueHDi100 Live,otoclic,155000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Citroen,C4,2019-01-01,5,1,72499.5,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
Audi Q3 S line Ultra,AUTO REDA,460000.0,Casablanca,Diesel,Automatique,8,19,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Audi,Q3,2020-01-01,5,1,82499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Range Rover Sport dynamique,AUTO REDA,440000.0,Casablanca,Diesel,Automatique,12,8,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Land Rover,Range Rover Sport,2018-01-01,5,1,124999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maserati Quattroporte,AUTO REDA,280000.0,Casablanca,Diesel,Automatique,12,12,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Maserati,Quattroporte,2015-01-01,5,1,114999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Volkswagen T-Roc 2.0 TDI 143 DSG Sport,otoclic,334000.0,Casablanca,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Volkswagen,t-roc,2023-01-01,5,1,42499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hyundai Accent Diesel Manuelle 2017 à Casablanca,Perle du sahel car,125000.0,Casablanca,Diesel,Manuelle,6,3,"Voitures d'occasion, à vendre",Oulfa,WW au Maroc,Très bon,Hyundai,Accent,2017-01-01,5,1,97499.5,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1
Renault Clio Diesel 2019,AutoHammou,115000.0,Rabat,Diesel,Manuelle,6,7,"Voitures d'occasion, à vendre",Yacoub El Mansour,WW au Maroc,Très bon,Renault,Clio,2019-01-01,5,1,77499.5,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
Land Rover Range Rover Evoque Diesel Automatique,AUTO REDA,300000.0,Casablanca,Diesel,Automatique,8,10,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Land Rover,Range Rover Evoque,2018-01-01,3,1,92499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Peugeot 208 1.6 HDi 75 White Edition,otoclic,143000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Très bon,Peugeot,208,2019-01-01,5,1,77499.5,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
Nouveau Nissan Qashqai E-power Hybrid ACENTA PLUS,Mustapha,374900.0,Casablanca,Diesel,Automatique,10,8,"Voitures d'occasion, à vendre",Sidi Bernoussi,WW au Maroc,Neuf,Nissan,Qashqai,2023-01-01,5,0,2499.5,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1
Dacia Sandero Diesel Manuelle 2022 à Casablanca,SIARACASH.MA,153000.0,Casablanca,Diesel,Manuelle,6,7,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Dacia,Sandero,2022-01-01,5,1,7499.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
duster automatique trophy full,Redouane,182000.0,Meknès,Diesel,Automatique,6,6,"Voitures d'occasion, à vendre",Hamria,WW au Maroc,Excellent,Dacia,Duster,2020-01-01,5,0,114999.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
KIFAL - DACIA Duster,KIFAL AUTO,161000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Dacia,Duster,2020-01-01,5,1,104999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nissan Evalia Diesel Manuelle 2019 à Casablanca,Autobroker,103500.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Anfa,WW au Maroc,Excellent,Nissan,EVALIA,2019-01-01,5,1,82499.5,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1
Mercedes-Benz Classe E 220 Avantgarde,AUTO REDA,360000.0,Casablanca,Diesel,Automatique,8,10,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Mercedes-Benz,Classe E,2020-01-01,3,0,87499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Renault R4 Essence Manuelle 1994 à Sidi Kacem,mohamed,9000.0,Sidi Kacem,Essence,Manuelle,4,6,"Voitures d'occasion, à vendre",Toute la ville,WW au Maroc,Correct,Renault,R4,1994-01-01,5,1,224999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Peugeot 208 Access,Auto24 - Occasions Certifiées Maroc,143000.0,Casablanca,Diesel,Manuelle,6,6,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Peugeot,208,2020-01-01,5,1,114999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renault Kadjar 1.6 dCi 130 Intens 4WD,otoclic,233000.0,Casablanca,Diesel,Automatique,6,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Très bon,Renault,Kadjar,2021-01-01,5,1,72499.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Opel Astra 1.6 CDTi 136 Enjoy,otoclic,186000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Très bon,Opel,Astra,2021-01-01,5,1,37499.5,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Jaguar XF Diesel Automatique,GenovaAuto,90000.0,Casablanca,Diesel,Automatique,11,11,"Voitures d'occasion, à vendre",Aïn Chock,Importée neuve,Excellent,Jaguar,XF,2010-01-01,5,1,224999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mercedes Classe G 63 AMG,Mint Luxe Auto,1750000.0,Marrakech,Essence,Automatique,23,12,"Voitures d'occasion, à vendre",Route de Casablanca,Importée neuve,Neuf,Mercedes-Benz,Classe G,2019-01-01,5,1,82499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini 1.5 One D Pepper 95,otoclic,199000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,mini,country man,2018-01-01,5,1,114999.5,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1
Fiat 500 Essence Manuelle 2012 à Casablanca,Issam,80000.0,Casablanca,Essence,Manuelle,7,5,"Voitures d'occasion, à vendre",Californie,WW au Maroc,Bon,Fiat,500,2012-01-01,5,1,104999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Mercedes-Benz 250 Diesel Manuelle 1993 à Nador,AUTO CHOPPAGE,67000.0,Nador,Diesel,Manuelle,8,7,"Voitures d'occasion, à vendre",Centre Ville,Dédouanée,Excellent,Mercedes-Benz,250,1993-01-01,5,0,274999.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Range Rover Sport HSE Dynamique,AUTO REDA,380000.0,Casablanca,Diesel,Automatique,12,14,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Land Rover,Range Rover Sport,2016-01-01,5,1,134999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIFAL - CITROEN C4,KIFAL AUTO,192000.0,Rabat,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Citroen,C4,2022-01-01,5,1,52499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz Classe CLA 220,AUTO REDA,240000.0,Casablanca,Diesel,Automatique,9,10,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Mercedes-Benz,Classe CLA,2014-01-01,5,1,92499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Honda HR-V 1.5 i-VTEC AT LX,otoclic,198000.0,Casablanca,Essence,Automatique,9,7,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Honda,HR-V,2020-01-01,5,1,32499.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Nissan Micra Acenta,Auto24 - Occasions Certifiées Maroc,141000.0,Casablanca,Diesel,Manuelle,6,4,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Nissan,Micra,2021-01-01,5,1,92499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz Classe A200 pack AMG,AUTO REDA,440000.0,Casablanca,Diesel,Automatique,8,12,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Mercedes-Benz,Classe A,2023-01-01,5,1,52499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Volkswagen Touareg Diesel Automatique 2019,AUTO REDA,380000.0,Casablanca,Diesel,Automatique,12,10,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Volkswagen,Touareg,2019-01-01,5,1,124999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Porsche Macan Essence Automatique 2022,AUTO REDA,680000.0,Casablanca,Essence,Automatique,12,17,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Porsche,Macan,2022-01-01,3,1,62499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Land Rover Range Rover Evoque Diesel Automatique,Garage saad auto,285000.0,Fès,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Narjis,Dédouanée,Excellent,Land Rover,Range Rover Evoque,2015-01-01,5,1,164999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hyundai Santa Fe Diesel Automatique 2016,hassan auto,185000.0,Casablanca,Diesel,Automatique,9,10,"Voitures d'occasion, à vendre",Californie,WW au Maroc,Excellent,Hyundai,Santa Fe,2016-01-01,5,1,97499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mercedes-Benz Classe B Diesel Automatique 2017,Particulier,228000.0,Fès,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Route d'Immouzere,Dédouanée,Excellent,Mercedes-Benz,Classe B,2017-01-01,5,0,92499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Peugeot 208 1.6 HDi 75 Allure,otoclic,162000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Très bon,Peugeot,208,2020-01-01,5,1,47499.5,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1
BMW Série 2 Diesel Automatique 2020 à Casablanca,otoclic,339000.0,Casablanca,Diesel,Automatique,8,6,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Très bon,BMW,Serie 2,2020-01-01,5,1,32499.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Ford Focus,Soufiyan,78000.0,Tanger,Diesel,Manuelle,7,5,"Voitures d'occasion, à vendre",Ahlane,WW au Maroc,Très bon,Ford,Focus,2010-01-01,5,0,224999.5,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1
KIFAL - SKODA Octavia,KIFAL AUTO,193000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Skoda,Octavia,2017-01-01,5,1,114999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Accent 1.5 U2 VGT 115 BVA Attractive,otoclic,179000.0,Casablanca,Diesel,Automatique,6,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Hyundai,Accent,2023-01-01,5,1,17499.5,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1
Dacia Logan tt options modèle 2011,Jamal Abdo,70000.0,Marrakech,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Allal El Fassi,WW au Maroc,Bon,Dacia,Logan,2011-01-01,5,0,324999.5,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
Monospace Kia,Badr Eddine Rguib,440000.0,Temara,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Harhoura,WW au Maroc,Excellent,Kia,CARNIVAL,2022-01-01,5,1,62499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mercedes-Benz Classe A 200 d Progressive,otoclic,322000.0,Casablanca,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Très bon,Mercedes-Benz,Classe A,2019-01-01,3,1,82499.5,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Range Rover Vogue Black Line Autobiographie,AUTO REDA,440000.0,Casablanca,Diesel,Automatique,12,8,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Land Rover,range_rover_vogue,2016-01-01,5,1,134999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Land Rover Velar R dynamique,AUTO REDA,750000.0,Casablanca,Diesel,Automatique,8,13,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Land Rover,Velar,2023-01-01,5,1,17499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dacia Sandero Stepway diesel,Hassan Abo hamza,118000.0,Rabat,Diesel,Manuelle,6,4,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Très bon,Dacia,sandero_stepway,2017-01-01,5,0,77499.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
KIFAL - RENAULT Captur,KIFAL AUTO,170000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Renault,Captur,2020-01-01,5,1,57499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz Classe C Diesel Automatique 2016,hassan auto,305000.0,Casablanca,Diesel,Automatique,6,9,"Voitures d'occasion, à vendre",Californie,Dédouanée,Très bon,Mercedes-Benz,Classe C,2016-01-01,5,1,114999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Citroen C3 1.6 HDi 92 Feel,otoclic,159000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Citroen,C3,2022-01-01,3,1,67499.5,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
2009 Platinium Diesel full auto,Youssef,105000.0,Bouskoura,Diesel,Manuelle,7,3,"Voitures d'occasion, à vendre",Bouskoura centre,WW au Maroc,Très bon,Honda,Accord,2009-01-01,5,0,224999.5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Fiat 500 Essence Automatique 2022 à Casablanca,Particulier,145000.0,Casablanca,Essence,Automatique,6,6,"Voitures d'occasion, à vendre",Belvédère,WW au Maroc,Excellent,Fiat,500,2022-01-01,3,1,47499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Volkswagen Coccinelle Diesel Automatique 2018,Fouad,195000.0,Casablanca,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Hay Hassani,WW au Maroc,Excellent,Volkswagen,COCCINELLE,2018-01-01,5,1,144999.5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
BMW X5 Diesel 2.5L Automatique 2016 à Rabat,Aissam,280000.0,Rabat,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,BMW,X5,2016-01-01,5,0,194999.5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Dacia Logan,عبد الله,52000.0,Oulad Frej,Essence,Manuelle,8,3,"Voitures d'occasion, à vendre",Toute la ville,WW au Maroc,Très bon,Dacia,Logan,2013-01-01,5,0,7499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volkswagen Tiguan,Auto Essagui,163000.0,Casablanca,Diesel,Automatique,8,14,"Voitures d'occasion, à vendre",Ain Sebaa,WW au Maroc,Excellent,Volkswagen,Tiguan,2012-01-01,5,1,164999.5,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1
Hyundai i10 Automatique 2023 - DERKAOUI AUTO,Derkaoui Automotive,135000.0,Tanger,Essence,Automatique,6,13,"Voitures d'occasion, à vendre",Val Fleuri,WW au Maroc,Neuf,Hyundai,Grand i10,2023-01-01,5,1,22499.5,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1
Hyundai ix 35 Diesel Manuelle 2015 à Casablanca,Hmizat auto moto,160000.0,Casablanca,Diesel,Manuelle,7,8,"Voitures d'occasion, à vendre",Oulfa,WW au Maroc,Excellent,Hyundai,ix 35,2015-01-01,5,1,114999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
