Titre,Vendeur,Prix,Ville,Carburant,Boite à vitesses,Puissance Fiscale,Nombre des images,Type,Secteur,Origine,État,Marque,Modèle,Année-Modèle,Nombre de portes,Première main,Kilométrage,Equipements
Peugeot 206 Essence Manuelle 2012 à Tanger,EL ISSAMY AUTO,54 000 DH,Tanger,Essence,Manuelle,6 CV,5 Images,"Voitures d'occasion, à vendre",Ahlane,WW au Maroc,Très bon,Peugeot,206+,2012,5,Non,190 000 - 199 999,"['Ordinateur De Bord', 'ABS', 'ESP', 'Climatisation', 'CD/MP3/Bluetooth', 'Jantes Aluminium', 'Airbags', 'Radar De Recul', 'Système De Navigation/GPS', 'Verrouillage Centralisé À Distance']"
Renault trafic 9 places,yassine,193 000 DH,Fès,Diesel,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Route Ain Chkaf,WW au Maroc,Neuf,Renault,Trafic,2018,5,Non,140 000 - 149 999,"['Vitres Électriques', 'Ordinateur De Bord', 'Airbags', 'Verrouillage Centralisé À Distance', 'ABS', 'CD/MP3/Bluetooth', 'ESP', 'Climatisation', 'Régulateur De Vitesse', 'Limiteur De Vitesse']"
Renault Koleos Diesel Automatique 2020,Auto 212,188 000 DH,Casablanca,Diesel,Automatique,8 CV,7 Images,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Renault,Koleos,2020,5,Oui,50 000 - 54 999,"['Système De Navigation/GPS', 'Vitres Électriques', 'Régulateur De Vitesse', 'Radar De Recul', 'Jantes Aluminium', 'Ordinateur De Bord', 'Airbags', 'Limiteur De Vitesse', 'Climatisation', 'ESP', 'Verrouillage Centralisé À Distance', 'ABS', 'Caméra De Recul', 'CD/MP3/Bluetooth']"
Fiat 500 X Cross Plus 4*4 Diesel Automatique 2019,madini car center,180 000 DH,Tanger,Diesel,Automatique,8 CV,10 Images,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Très bon,Fiat,500X,2019,5,Oui,85 000 - 89 999,[]
Nissan toute opción,fahd auto,PRIX NON SPÉCIFIÉ,Tétouan,Diesel,Automatique,7 CV,16 Images,"Voitures d'occasion, à vendre",Al Azhar,WW au Maroc,Excellent,Nissan,Qashqai,2016,5,Non,70 000 - 74 999,"['Airbags', 'Vitres Électriques', 'CD/MP3/Bluetooth', 'Climatisation', 'Jantes Aluminium', 'Régulateur De Vitesse', 'ABS', 'Caméra De Recul', 'Radar De Recul', 'Limiteur De Vitesse', 'ESP']"
Jeep Grand Cherokee Diesel Automatique 2016,Auto 212,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,12 CV,11 Images,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Jeep,Grand Cherokee,2016,5,Oui,100 000 - 109 999,"['Vitres Électriques', 'ESP', 'Airbags', 'CD/MP3/Bluetooth', 'Caméra De Recul', 'Radar De Recul', 'Climatisation', 'Verrouillage Centralisé À Distance', 'Sièges Cuir', 'Limiteur De Vitesse', 'ABS', 'Ordinateur De Bord', 'Système De Navigation/GPS', 'Régulateur De Vitesse', 'Jantes Aluminium']"
Opel Astra Diesel Manuelle 2014 à Agadir,Mobile auto,PRIX NON SPÉCIFIÉ,Agadir,Diesel,Manuelle,7 CV,14 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Opel,Astra,2014,5,Non,200 000 - 249 999,"['Limiteur De Vitesse', 'Ordinateur De Bord', 'Jantes Aluminium', 'Climatisation', 'Régulateur De Vitesse', 'CD/MP3/Bluetooth', 'Radar De Recul', 'Airbags', 'Vitres Électriques', 'ESP', 'Sièges Cuir', 'ABS', 'Caméra De Recul', 'Verrouillage Centralisé À Distance']"
Cls v6 pack Amg,youness elhardal,205 000 DH,Casablanca,Diesel,Automatique,12 CV,7 Images,"Voitures d'occasion, à vendre",Ain Sebaa,Importée neuve,Excellent,Mercedes-Benz,Classe CLS,2012,5,Non,150 000 - 159 999,"['Toit Ouvrant', 'Vitres Électriques', 'Radar De Recul', 'Caméra De Recul', 'ESP', 'ABS', 'Ordinateur De Bord', 'Jantes Aluminium', 'Régulateur De Vitesse', 'Verrouillage Centralisé À Distance', 'Climatisation', 'Système De Navigation/GPS', 'Sièges Cuir', 'CD/MP3/Bluetooth', 'Airbags', 'Limiteur De Vitesse']"
Mercedes-Benz Classe S Diesel Automatique 2016,LEVING AUTO,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,12 CV,13 Images,"Voitures d'occasion, à vendre",Val Fleuri,Importée neuve,Excellent,Mercedes-Benz,Classe S,2016,5,Oui,85 000 - 89 999,"['Système De Navigation/GPS', 'Limiteur De Vitesse', 'Toit Ouvrant', 'Caméra De Recul', 'Verrouillage Centralisé À Distance', 'Ordinateur De Bord', 'CD/MP3/Bluetooth', 'Vitres Électriques', 'Régulateur De Vitesse', 'Sièges Cuir', 'Jantes Aluminium', 'Radar De Recul', 'ESP', 'Climatisation', 'Airbags', 'ABS']"
Peugeot 208 Diesel 00 KM Automatique 2023,madini car center,PRIX NON SPÉCIFIÉ,Tanger,Diesel,Automatique,6 CV,9 Images,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Neuf,Peugeot,208,2023,5,Oui,0 - 4 999,[]
BMW Série 7 Diesel Automatique 2017 à Marrakech,KECH AUTO,680 000 DH,Marrakech,Diesel,Automatique,12 CV,7 Images,"Voitures d'occasion, à vendre",Autre secteur,Importée neuve,Excellent,BMW,Serie 7,2017,5,Oui,45 000 - 49 999,"['Système De Navigation/GPS', 'ABS', 'Caméra De Recul', 'Sièges Cuir', 'Climatisation', 'Airbags', 'Verrouillage Centralisé À Distance', 'Limiteur De Vitesse', 'Jantes Aluminium', 'Ordinateur De Bord', 'ESP', 'CD/MP3/Bluetooth', 'Vitres Électriques', 'Radar De Recul', 'Régulateur De Vitesse', 'Toit Ouvrant']"
Hyundai grand i10 2019 essence outoumatiqe,salon auto sous Agadir,PRIX NON SPÉCIFIÉ,Agadir,Essence,Automatique,6 CV,12 Images,"Voitures d'occasion, à vendre",Extension Dakhla,WW au Maroc,Très bon,Hyundai,Grand i10,2019,5,Oui,90 000 - 94 999,"['Radar De Recul', 'Airbags', 'Ordinateur De Bord', 'Climatisation', 'Vitres Électriques', 'CD/MP3/Bluetooth']"
Skoda Octavia Diesel Automatique 2014 à Agadir,Mobile auto,PRIX NON SPÉCIFIÉ,Agadir,Diesel,Automatique,8 CV,13 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Skoda,Octavia,2014,5,Non,250 000 - 299 999,"['Ordinateur De Bord', 'Sièges Cuir', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'Caméra De Recul', 'Radar De Recul', 'Jantes Aluminium', 'ESP', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Limiteur De Vitesse', 'Vitres Électriques', 'ABS', 'Climatisation', 'Airbags']"
Mercedes-Benz Classe A Diesel Automatique 2019,Particulier,325 000 DH,Fès,Diesel,Automatique,6 CV,11 Images,"Voitures d'occasion, à vendre",Centre,Importée neuve,Très bon,Mercedes-Benz,Classe A,2019,5,Oui,160 000 - 169 999,[]
Renault Clio5 Diesel Manuelle 2021 à Safi,clio,PRIX NON SPÉCIFIÉ,Safi,Diesel,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Très bon,Renault,Clio,2021,5,Non,80 000 - 84 999,"['Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'ESP', 'Régulateur De Vitesse', 'Vitres Électriques', 'Airbags', 'Verrouillage Centralisé À Distance', 'Climatisation', 'Radar De Recul', 'Limiteur De Vitesse', 'ABS', 'Ordinateur De Bord', 'Caméra De Recul', 'Jantes Aluminium']"
BMW Série 5 Diesel Automatique 2018 à Kénitra,Auto Store,PRIX NON SPÉCIFIÉ,Kénitra,Diesel,Automatique,8 CV,10 Images,"Voitures d'occasion, à vendre",Centre,Importée neuve,Excellent,BMW,Serie 5,2018,5,Oui,120 000 - 129 999,"['Caméra De Recul', 'Jantes Aluminium', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Airbags', 'Régulateur De Vitesse', 'Système De Navigation/GPS', 'Vitres Électriques', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'ESP', 'Toit Ouvrant', 'Radar De Recul', 'Sièges Cuir', 'ABS', 'Climatisation']"
Peugeot 3008 Gt Line comme neuf,mohammed,285 000 DH,Kénitra,Diesel,,8 CV,8 Images,"Voitures d'occasion, à vendre",Autre secteur,,,Peugeot,3008,2019,,,55 000 - 59 999,[]
Porsche Panamera 4S essence,Brookline auto,680 000 DH,Casablanca,Essence,Automatique,17 CV,13 Images,"Voitures d'occasion, à vendre",2 Mars,WW au Maroc,Excellent,Porsche,Panamera,2018,5,Oui,85 000 - 89 999,[]
Kia Picanto Essence Automatique 2017 à Rabat,AUTO SABLO,PRIX NON SPÉCIFIÉ,Rabat,Essence,Automatique,6 CV,12 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Bon,Kia,Picanto,2017,5,,50 000 - 54 999,[]
BMW Série 3 Diesel Automatique 2008 à Casablanca,KAMAL,106 000 DH,Casablanca,Diesel,Automatique,11 CV,6 Images,"Voitures d'occasion, à vendre",Oulfa,Dédouanée,Excellent,BMW,Serie 3,2008,5,Non,190 000 - 199 999,[]
Dacia Logan moteur dci,jalal,55 000 DH,Sidi Bennour,Diesel,Manuelle,6 CV,6 Images,"Voitures d'occasion, à vendre",Toute la ville,WW au Maroc,Bon,Dacia,Logan,2011,5,Non,15 000 - 19 999,"['CD/MP3/Bluetooth', 'Jantes Aluminium']"
Land Rover Range Rover Evoque Diesel Automatique,Loubna,340 000 DH,Casablanca,Diesel,Automatique,7 CV,8 Images,"Voitures d'occasion, à vendre",Sidi Bernoussi,WW au Maroc,Excellent,Land Rover,Range Rover Evoque,2019,5,Oui,120 000 - 129 999,"['Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Limiteur De Vitesse', 'Climatisation', 'Radar De Recul', 'Sièges Cuir', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'Airbags', 'Régulateur De Vitesse', 'Caméra De Recul']"
MERCEDES A 220d AMG LINE PETRONAS EDITION DOUANE21,AUTOMOBILES TINGIS,287 000 DH,Tanger,Diesel,Automatique,9 CV,20 Images,"Voitures d'occasion, à vendre",Centre,Dédouanée,Excellent,Mercedes-Benz,Classe A,2015,5,Non,130 000 - 139 999,"['CD/MP3/Bluetooth', 'ESP', 'Limiteur De Vitesse', 'Airbags', 'Système De Navigation/GPS', 'Jantes Aluminium', 'Ordinateur De Bord', 'Climatisation', 'Vitres Électriques', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'ABS', 'Caméra De Recul', 'Radar De Recul', 'Sièges Cuir', 'Toit Ouvrant']"
Land Rover Range Rover Evoque Diesel Automatique,B8 Auto,PRIX NON SPÉCIFIÉ,Marrakech,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Centre Ville,WW au Maroc,Excellent,Land Rover,Range Rover Evoque,2019,5,Oui,65 000 - 69 999,[]
peugeot 308 allure bva 1.5 blue hdi stt,Avito,PRIX NON SPÉCIFIÉ,Tétouan,Diesel,Automatique,6 CV,19 Images,"Voitures d'occasion, à vendre",Wilaya,WW au Maroc,Excellent,Peugeot,308,2020,5,Oui,70 000 - 74 999,"['Verrouillage Centralisé À Distance', 'Jantes Aluminium', 'CD/MP3/Bluetooth', 'Ordinateur De Bord', 'Système De Navigation/GPS', 'Climatisation', 'ABS', 'Vitres Électriques', 'ESP', 'Régulateur De Vitesse', 'Airbags', 'Radar De Recul', 'Caméra De Recul', 'Limiteur De Vitesse', 'Sièges Cuir']"
Volvo XC90,Magnum OTO,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Automatique,9 CV,16 Images,"Voitures d'occasion, à vendre",Agdal,WW au Maroc,Très bon,Volvo,XC90,2022,5,Oui,80 000 - 84 999,"['Vitres Électriques', 'Limiteur De Vitesse', 'Toit Ouvrant', 'Jantes Aluminium', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Système De Navigation/GPS', 'Airbags', 'Radar De Recul', 'ESP', 'Caméra De Recul', 'ABS', 'Régulateur De Vitesse', 'Climatisation', 'Ordinateur De Bord', 'Sièges Cuir']"
BMW Serie 4 2023,AUTO MAHER Luxury Cars,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,8 CV,13 Images,"Voitures d'occasion, à vendre",Californie,Dédouanée,Excellent,BMW,Serie 4,2023,5,Oui,5 000 - 9 999,"['Climatisation', 'Radar De Recul', 'Vitres Électriques', 'Régulateur De Vitesse', 'ABS', 'Verrouillage Centralisé À Distance', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'CD/MP3/Bluetooth', 'Caméra De Recul', 'Airbags', 'Sièges Cuir', 'Jantes Aluminium', 'Système De Navigation/GPS', 'ESP', 'Toit Ouvrant']"
Renault Captur Diesel Manuelle 2020 à Rabat,auto rizk,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,6 CV,18 Images,"Voitures d'occasion, à vendre",Hassan,WW au Maroc,Excellent,Renault,Captur,2020,5,Oui,80 000 - 84 999,"['Airbags', 'ESP', 'CD/MP3/Bluetooth', 'Climatisation', 'Limiteur De Vitesse', 'Vitres Électriques', 'ABS', 'Système De Navigation/GPS', 'Caméra De Recul', 'Régulateur De Vitesse', 'Verrouillage Centralisé À Distance', 'Ordinateur De Bord', 'Jantes Aluminium', 'Radar De Recul']"
Citroen C3 Diesel Manuelle 2019 à Fès,Garage saad auto,128 000 DH,Fès,Diesel,Manuelle,6 CV,6 Images,"Voitures d'occasion, à vendre",Narjis,WW au Maroc,Excellent,Citroen,C3,2019,5,Oui,90 000 - 94 999,"['Airbags', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance', 'ESP', 'Climatisation', 'Jantes Aluminium', 'Vitres Électriques', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'Radar De Recul', 'Régulateur De Vitesse', 'ABS', 'Ordinateur De Bord']"
Audi Q5 Quattro 2L 68000km,Okaz oTo,360 000 DH,Casablanca,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Très bon,Audi,Q5,2018,5,Oui,60 000 - 64 999,[]
Jeep Renegade Diesel Automatique 2018 à Safi,Zouhair,160 000 DH,Safi,Diesel,Automatique,6 CV,5 Images,"Voitures d'occasion, à vendre",Sidi Bouzid,WW au Maroc,Excellent,Jeep,Renegade,2018,5,Non,95 000 - 99 999,"['Jantes Aluminium', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance', 'Ordinateur De Bord', 'Système De Navigation/GPS', 'Airbags', 'Climatisation', 'Caméra De Recul', 'Sièges Cuir', 'ABS', 'Radar De Recul', 'Vitres Électriques', 'CD/MP3/Bluetooth', 'Régulateur De Vitesse', 'ESP']"
BMW X1 Essence Manuelle 2012 à Rabat,AutoHammou,125 000 DH,Rabat,Essence,Manuelle,11 CV,8 Images,"Voitures d'occasion, à vendre",Yacoub El Mansour,WW au Maroc,Très bon,BMW,X1,2012,5,Non,75 000 - 79 999,"['Airbags', 'Sièges Cuir', 'Vitres Électriques', 'Verrouillage Centralisé À Distance', 'Radar De Recul', 'ESP', 'CD/MP3/Bluetooth', 'ABS', 'Jantes Aluminium', 'Climatisation']"
Mercedes-Benz 220,Auto_simohamed,179 000 DH,Meknès,Diesel,Automatique,9 CV,8 Images,"Voitures d'occasion, à vendre",Hamria,Dédouanée,Neuf,Mercedes-Benz,220,2011,5,Oui,200 000 - 249 999,"['Toit Ouvrant', 'Régulateur De Vitesse', 'Radar De Recul', 'Vitres Électriques', 'Climatisation', 'ABS', 'Système De Navigation/GPS', 'ESP', 'Limiteur De Vitesse', 'Caméra De Recul', 'Verrouillage Centralisé À Distance', 'CD/MP3/Bluetooth', 'Sièges Cuir', 'Airbags', 'Jantes Aluminium']"
Dacia Logan 2018 diesel manuelle 1.6,salon auto sous Agadir,115 000 DH,Agadir,Diesel,Manuelle,6 CV,13 Images,"Voitures d'occasion, à vendre",Extension Dakhla,WW au Maroc,Très bon,Dacia,Logan,2018,5,Oui,95 000 - 99 999,"['Verrouillage Centralisé À Distance', 'Airbags', 'Ordinateur De Bord', 'Régulateur De Vitesse', 'CD/MP3/Bluetooth', 'Climatisation', 'Vitres Électriques', 'Radar De Recul', 'Jantes Aluminium', 'Caméra De Recul', 'Limiteur De Vitesse']"
Audi Q8 S-line 50 Tdi,Promorent Auto,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,12 CV,8 Images,"Voitures d'occasion, à vendre",Bourgogne,Importée neuve,Excellent,Audi,Q8,2023,5,Oui,10 000 - 14 999,[]
Toyota Corolla Prestige Hybride Automatique 2019,Auto Aymane,PRIX NON SPÉCIFIÉ,Casablanca,Hybride,Automatique,10 CV,11 Images,"Voitures d'occasion, à vendre",Lissasfa,WW au Maroc,Excellent,Toyota,corolla_prestige,2019,5,Oui,90 000 - 94 999,"['Limiteur De Vitesse', 'Climatisation', 'Régulateur De Vitesse', 'Vitres Électriques', 'Radar De Recul', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Système De Navigation/GPS', 'Airbags', 'Ordinateur De Bord', 'Jantes Aluminium', 'Caméra De Recul', 'ABS', 'ESP']"
Ford C-Max Diesel Manuelle 2020 1ére main,Avito,PRIX NON SPÉCIFIÉ,Tétouan,Diesel,Manuelle,6 CV,18 Images,"Voitures d'occasion, à vendre",Wilaya,WW au Maroc,Excellent,Ford,C-Max,2020,5,Oui,75 000 - 79 999,"['Climatisation', 'Verrouillage Centralisé À Distance', 'ESP', 'CD/MP3/Bluetooth', 'Vitres Électriques', 'Ordinateur De Bord', 'Système De Navigation/GPS', 'Radar De Recul', 'Jantes Aluminium', 'ABS', 'Limiteur De Vitesse', 'Régulateur De Vitesse']"
XC40 D4 AWD R-DESIGN,Okaz oTo,295 000 DH,Casablanca,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Volvo,XC40,2018,5,Oui,90 000 - 94 999,[]
Mercedes-Benz 220 Diesel Automatique 2015 à Fès,Auto Soufiane,PRIX NON SPÉCIFIÉ,Fès,Diesel,Automatique,9 CV,9 Images,"Voitures d'occasion, à vendre",Oued Fès,Dédouanée,,Mercedes-Benz,220,2015,,,150 000 - 159 999,[]
Ford Kuga Diesel Automatique 2021 à Rabat,Auto Errachidia,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Automatique,6 CV,20 Images,"Voitures d'occasion, à vendre",Hay Riad,WW au Maroc,Neuf,Ford,Kuga,2021,5,Oui,85 000 - 89 999,"['ESP', 'Système De Navigation/GPS', 'Airbags', 'Vitres Électriques', 'CD/MP3/Bluetooth', 'Régulateur De Vitesse', 'Radar De Recul', 'Caméra De Recul', 'Climatisation', 'Jantes Aluminium', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'ABS']"
Opel Astra Diesel Automatique 08 - 2019 Casablanca,SAID,175 000 DH,Casablanca,Diesel,Automatique,6 CV,8 Images,"Voitures d'occasion, à vendre",Belvédère,WW au Maroc,Excellent,Opel,Astra,2019,5,Oui,45 000 - 49 999,"['Climatisation', 'Ordinateur De Bord', 'ABS', 'ESP', 'Jantes Aluminium', 'Régulateur De Vitesse', 'Airbags', 'Système De Navigation/GPS', 'Radar De Recul', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Caméra De Recul']"
Nissan Qashqai acenta plus 1ére main 130 cv,Avito,PRIX NON SPÉCIFIÉ,Tétouan,Diesel,Automatique,6 CV,16 Images,"Voitures d'occasion, à vendre",Wilaya,WW au Maroc,Excellent,Nissan,Qashqai,2021,5,Oui,60 000 - 64 999,"['Système De Navigation/GPS', 'Climatisation', 'Airbags', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'CD/MP3/Bluetooth', 'Régulateur De Vitesse', 'Jantes Aluminium', 'ESP', 'Limiteur De Vitesse', 'ABS', 'Caméra De Recul', 'Vitres Électriques', 'Radar De Recul']"
Kia,hamza alawi,52 000 DH,Casablanca,Essence,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Aïn Diab,WW au Maroc,Excellent,Kia,Picanto,2006,5,,160 000 - 169 999,"['Vitres Électriques', 'CD/MP3/Bluetooth', 'ABS', 'Climatisation', 'Système De Navigation/GPS', 'Verrouillage Centralisé À Distance', 'Radar De Recul', 'ESP', 'Airbags', 'Caméra De Recul']"
Land Rover Range Rover vogue 3.0SD facelift 2019,Autoparis,790 000 DH,Casablanca,Diesel,Automatique,12 CV,9 Images,"Voitures d'occasion, à vendre",Hay Hassani,WW au Maroc,Excellent,Land Rover,range_rover_vogue,2019,5,Oui,100 000 - 109 999,"['Climatisation', 'Sièges Cuir', 'Jantes Aluminium', 'ABS', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'Caméra De Recul', 'Vitres Électriques', 'ESP', 'Système De Navigation/GPS', 'Radar De Recul', 'CD/MP3/Bluetooth', 'Toit Ouvrant', 'Limiteur De Vitesse', 'Airbags', 'Régulateur De Vitesse']"
touran 2013,imad,PRIX NON SPÉCIFIÉ,Agadir,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Agadir Oufella,Dédouanée,Très bon,Volkswagen,Touran,2013,5,Non,250 000 - 299 999,"['Climatisation', 'Jantes Aluminium', 'Radar De Recul', 'Limiteur De Vitesse', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'Toit Ouvrant', 'Régulateur De Vitesse', 'Vitres Électriques', 'Airbags', 'Verrouillage Centralisé À Distance']"
Audi Q5 Diesel Automatique 2021 à Tanger,madini car center,PRIX NON SPÉCIFIÉ,Tanger,Diesel,Automatique,8 CV,11 Images,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Excellent,Audi,Q5,2021,5,Oui,10 000 - 14 999,[]
Ford kuga tt options,mjide,149 000 DH,Fès,Diesel,Manuelle,8 CV,8 Images,"Voitures d'occasion, à vendre",Ben Souda,WW au Maroc,Excellent,Ford,Kuga,2016,5,Non,150 000 - 159 999,"['ABS', 'Vitres Électriques', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'ESP', 'CD/MP3/Bluetooth', 'Caméra De Recul', 'Radar De Recul', 'Climatisation', 'Airbags', 'Régulateur De Vitesse', 'Jantes Aluminium', 'Système De Navigation/GPS', 'Limiteur De Vitesse']"
BMW X3 2L X-Drive 2019,Okaz oTo,355 000 DH,Casablanca,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,BMW,X3,2019,5,Oui,90 000 - 94 999,[]
Mercedes-Benz Classe GLE Diesel Automatique 2020,AUTO AALIKOUCH,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Automatique,10 CV,7 Images,"Voitures d'occasion, à vendre",Hay el Fath,WW au Maroc,Excellent,Mercedes-Benz,Classe GLE,2020,5,Oui,140 000 - 149 999,"['Sièges Cuir', 'Climatisation', 'Système De Navigation/GPS', 'Radar De Recul', 'Caméra De Recul', 'Vitres Électriques', 'Jantes Aluminium', 'CD/MP3/Bluetooth', 'Ordinateur De Bord', 'Régulateur De Vitesse', 'Verrouillage Centralisé À Distance', 'Limiteur De Vitesse', 'ABS', 'Airbags', 'ESP']"
Hyundai Kona Hybride Automatique 2022 à Temara,GLOBAL OCCAZ TEMARA,255 000 DH,Temara,Hybride,Automatique,9 CV,7 Images,"Voitures d'occasion, à vendre",Centre Ville,WW au Maroc,Excellent,Hyundai,kona,2022,5,Oui,25 000 - 29 999,[]
Audi Q5 Sport back S-line 2018,AUTO MAHER Luxury Cars,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,8 CV,20 Images,"Voitures d'occasion, à vendre",Californie,Dédouanée,Excellent,Audi,Q5,2018,,,90 000 - 94 999,"['Limiteur De Vitesse', 'ABS', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Ordinateur De Bord', 'Vitres Électriques', 'Caméra De Recul', 'Sièges Cuir', 'Climatisation', 'ESP', 'Jantes Aluminium', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'Toit Ouvrant', 'Radar De Recul', 'Airbags']"
Porsche Panamera Essence Automatique 2010 à Fès,Adil,PRIX NON SPÉCIFIÉ,Fès,Essence,Automatique,28 CV,8 Images,"Voitures d'occasion, à vendre",Centre,Importée neuve,Excellent,Porsche,Panamera,2010,5,Non,150 000 - 159 999,"['ESP', 'Caméra De Recul', 'Climatisation', 'Système De Navigation/GPS', 'Vitres Électriques', 'Verrouillage Centralisé À Distance', 'Jantes Aluminium', 'Sièges Cuir', 'ABS', 'Limiteur De Vitesse', 'Régulateur De Vitesse', 'Ordinateur De Bord', 'Radar De Recul', 'CD/MP3/Bluetooth']"
golf 4 mazot,golf,35 000 DH,Arbaoua,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Toute la ville,Dédouanée,Endommagé,Volkswagen,GOLF 4,2002,5,Oui,190 000 - 199 999,"['Limiteur De Vitesse', 'Sièges Cuir', 'Verrouillage Centralisé À Distance', 'Jantes Aluminium', 'CD/MP3/Bluetooth', 'Système De Navigation/GPS', 'Vitres Électriques', 'Airbags', 'ABS', 'Caméra De Recul', 'Toit Ouvrant', 'Radar De Recul', 'Climatisation', 'ESP', 'Ordinateur De Bord', 'Régulateur De Vitesse']"
Land Rover Range Rover Evoque Diesel Automatique,,207 000 DH,Casablanca,Diesel,Automatique,8 CV,2 Images,"Voitures d'occasion, à vendre",Californie,WW au Maroc,Excellent,Land Rover,Range Rover Evoque,2017,5,Non,180 000 - 189 999,[]
Citroen C1 Essence Manuelle 2009 à Marrakech,Marrakech,55 000 DH,Marrakech,Essence,Manuelle,6 CV,5 Images,"Voitures d'occasion, à vendre",Hay Targa,WW au Maroc,Très bon,Citroen,C1,2009,5,Oui,130 000 - 139 999,"['Verrouillage Centralisé À Distance', 'Radar De Recul', 'ESP', 'Vitres Électriques', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Système De Navigation/GPS', 'Climatisation', 'Caméra De Recul', 'Sièges Cuir', 'Airbags', 'Régulateur De Vitesse', 'ABS', 'CD/MP3/Bluetooth']"
Volkswagen Arteon Diesel Automatique 2019,MED,PRIX NON SPÉCIFIÉ,Tétouan,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Wilaya,WW au Maroc,Neuf,Volkswagen,Arteon,2019,5,Oui,70 000 - 74 999,"['Vitres Électriques', 'Sièges Cuir', 'Verrouillage Centralisé À Distance', 'Jantes Aluminium', 'ABS', 'ESP', 'Régulateur De Vitesse', 'Limiteur De Vitesse', 'Caméra De Recul', 'Climatisation', 'Airbags', 'CD/MP3/Bluetooth', 'Radar De Recul', 'Système De Navigation/GPS', 'Ordinateur De Bord']"
Porsche cayenne coupé hybride,Car and Shop,PRIX NON SPÉCIFIÉ,Casablanca,Hybride,Automatique,17 CV,11 Images,"Voitures d'occasion, à vendre",Maarif,Importée neuve,Excellent,Porsche,cayenne_coupe,2022,5,Oui,25 000 - 29 999,[]
